YEAR,COUNTY,ST_TOTAL,ST_LE_TOTAL,ST_LE_SWORN,ST_LE_NONSWORN,ST_OTH_FUNDED_TOTAL,ST_OTH_FUNDED_SWORN,ST_OTH_FUNDED_NONSWORN,CNTY_TOTAL,CNTY_LE_TOTAL,CNTY_LE_SWORN,CNTY_LE_NONSWORN,CNTY_OTH_FUNDED_TOTAL,CNTY_OTH_FUNDED_SWORN,CNTY_OTH_FUNDED_NONSWORN,SO_FUNDED_TOTAL,SO_FUNDED_SWORN,SO_FUNDED_NONSWORN,PD_FUNDED_TOTAL,PD_FUNDED_SWORN,PD_FUNDED_NONSWORN,CHP_FUNDED_TOTAL,CHP_FUNDED_SWORN,CHP_FUNDED_NONSWORN,Prosecution,DA_Attorneys,DA_Investigators,DA_Clerical,DA_Other,PublicDefense,PD_Attorneys,PD_Investigators,PD_Clerical,PD_Other,ProbationDept,ProbationOfficers,PROB_Other
2005,Kern County,2518,1735,940,795,13,10,3,2518,1735,940,795,13,10,3,1063,479,584,659,451,208, , , ,160,71,41,40,8,81,52,11,16,2,542,230,312
2005,Kings County,495,322,173,149, , , ,495,322,173,149, , , ,196,80,116,126,93,33, , , ,47,19,11,13,4, , , , , ,126,48,78
2005,Lake County,267,193,99,94, , , ,267,193,99,94, , , ,146,62,84,47,37,10, , , ,29,14,6,9,0, , , , , ,45,24,21
2005,Lassen County,147,107,84,23, , , ,147,107,84,23, , , ,87,66,21,20,18,2, , , ,9,4,1,3,1,5,3,0,2,0,26,12,14
2005,Los Angeles County,41701,33790,22553,11237,257,171,86,41701,33790,22553,11237,257,171,86,13939,8188,5751,19594,14194,5400, , , ,1960,952,236,582,190,987,677,73,157,80,4964,2332,2632
2005,Madera County,337,200,143,57, , , ,337,200,143,57, , , ,100,66,34,100,77,23, , , ,30,13,7,8,2, , , , , ,107,45,62
2005,Marin County,902,658,468,190,8,6,2,902,658,468,190,8,6,2,316,209,107,334,253,81, , , ,95,37,11,32,15,46,27,4,12,3,103,58,45
2005,Mariposa County,88,68,54,14, , , ,88,68,54,14, , , ,68,54,14, , , , , , ,8,3,1,3,1, , , , , ,12,8,4
2005,Mendocino County,380,229,174,55, , , ,380,229,174,55, , , ,155,120,35,74,54,20, , , ,52,17,8,17,10,19,12,3,3,1,80,38,42
2005,Merced County,735,499,372,127, , , ,735,499,372,127, , , ,237,187,50,262,185,77, , , ,73,21,16,24,12,16,12,0,4,0,147,53,94
